[#, project, merge commit, file, approach, timeStamp]
1;netty;4f9b6c5badfb4a878a283440479b385f7260067f;C:/UFPE/miningframework/SOOTAnalysisOutput/netty/4f9b6c5badfb4a878a283440479b385f7260067f/io/netty/util/NetworkConstants;InsertionLevelInitializationBlockHandler;0,765
2;netty;4f9b6c5badfb4a878a283440479b385f7260067f;C:/UFPE/miningframework/SOOTAnalysisOutput/netty/4f9b6c5badfb4a878a283440479b385f7260067f/io/netty/util/NetworkConstants;InsertionLevelInitializationBlockHandler;0,541
3;netty;4f9b6c5badfb4a878a283440479b385f7260067f;C:/UFPE/miningframework/SOOTAnalysisOutput/netty/4f9b6c5badfb4a878a283440479b385f7260067f/io/netty/util/NetworkConstants;InsertionLevelInitializationBlockHandler;0,575
4;netty;4f9b6c5badfb4a878a283440479b385f7260067f;C:/UFPE/miningframework/SOOTAnalysisOutput/netty/4f9b6c5badfb4a878a283440479b385f7260067f/io/netty/util/NetworkConstants;InsertionLevelInitializationBlockHandler;0,664
5;netty;4f9b6c5badfb4a878a283440479b385f7260067f;C:/UFPE/miningframework/SOOTAnalysisOutput/netty/4f9b6c5badfb4a878a283440479b385f7260067f/io/netty/util/NetworkConstants;InsertionLevelInitializationBlockHandler;0,49
1;netty;4f9b6c5badfb4a878a283440479b385f7260067f;C:/UFPE/miningframework/SOOTAnalysisOutput/netty/4f9b6c5badfb4a878a283440479b385f7260067f/io/netty/handler/codec/http/DefaultCookie;InsertionLevelInitializationBlockHandler;0,608
2;netty;4f9b6c5badfb4a878a283440479b385f7260067f;C:/UFPE/miningframework/SOOTAnalysisOutput/netty/4f9b6c5badfb4a878a283440479b385f7260067f/io/netty/handler/codec/http/DefaultCookie;InsertionLevelInitializationBlockHandler;0,555
3;netty;4f9b6c5badfb4a878a283440479b385f7260067f;C:/UFPE/miningframework/SOOTAnalysisOutput/netty/4f9b6c5badfb4a878a283440479b385f7260067f/io/netty/handler/codec/http/DefaultCookie;InsertionLevelInitializationBlockHandler;0,558
4;netty;4f9b6c5badfb4a878a283440479b385f7260067f;C:/UFPE/miningframework/SOOTAnalysisOutput/netty/4f9b6c5badfb4a878a283440479b385f7260067f/io/netty/handler/codec/http/DefaultCookie;InsertionLevelInitializationBlockHandler;0,575
5;netty;4f9b6c5badfb4a878a283440479b385f7260067f;C:/UFPE/miningframework/SOOTAnalysisOutput/netty/4f9b6c5badfb4a878a283440479b385f7260067f/io/netty/handler/codec/http/DefaultCookie;InsertionLevelInitializationBlockHandler;0,557
